name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Tenuta Delle Terre Nere Etna Calderara Sottana Rosso 2016,Etna,Italy,2016,Tenuta Delle Terre Nere,White,Unknown,51.94,4.1,,3.9500892062346025,8
Chateau Lafonrochet Saintestephe Grand Cru Classe 2017,Saintestephe,France,2017,Chateau Lafonrochet,Red,Unknown,52.77,3.6,,3.9659428474175766,7
Bel Avenir Brouilly 2014,Other,France,2014,Bel Avenir,Red,Unknown,12.68,3.3,,2.54002594900908,10
Domaine De Beaurenard Rasteau 2017,Rasteau,France,2017,Domaine De Beaurenard,Red,Unknown,18.44,3.8,,2.914522218128448,7
Chateau La Croix Du Duc Bordeaux 2016,Bordeaux,France,2016,Chateau La Croix Du Duc,Sparkling,Unknown,7.3,3.5,,1.9878743481543453,8
Domaine Des Senechaux Chateauneufdupape 2016,Chateauneufdupape,France,2016,Domaine Des Senechaux,Rose,Unknown,48.6,4.2,,3.883623530906448,8
Dominio De Eguren Codice 2017,Castilla Y Leon,Spain,2017,Dominio De Eguren,Red,Unknown,4.46,3.5,,1.4951487660319729,7
Bergsig Estate Pinotage 2016,Other,South Africa,2016,Bergsig Estate,Rose,Pinotage,10.69,3.9,,2.3693087250369538,8
Apaltagua Gran Verano Cabernet Sauvignon 2018,Central Valley,Chile,2018,Apaltagua,Rose,Cabernet Sauvignon,7.54,3.4,,2.0202221820198645,6
Brovia Villero Barolo 2011,Barolo,Italy,2011,Brovia,Rose,Barolo,66.3,4.2,,4.194189897191817,13
Cabriz Edicao Especial Tinto 2015,Dao,Portugal,2015,Cabriz,Rose,Unknown,17.88,4.2,,2.883682769745368,9
Col Dorcia Poggio Al Vento Brunello Di Montalcino Riserva 2008,Brunello Di Montalcino,Italy,2008,Col Dorcia,Rose,Unknown,90.05,4.2,,4.500365071621965,16
Fosso Corno Montepulciano Dabruzzo Riserva 2016,Montepulciano Dabruzzo,Italy,2016,Fosso Corno,Red,Montepulciano,10.31,3.6,,2.3331142980288684,8
Domaine De La Begude Bandol Rouge 2015,Bandol,France,2015,Domaine De La Begude,Rose,Unknown,32.44,3.9,,3.479392229247212,9
Il Palagione Antajr Rosso 2014,Toscana,Italy,2014,Il Palagione,Rose,Unknown,22.77,4.1,,3.125443880075648,10
Poggio Di Sotto Rosso Di Montalcino 2013,Rosso Di Montalcino,Italy,2013,Poggio Di Sotto,Rose,Unknown,52.1,4.2,,3.9531649487593215,11
La Font Du Vent Les Promesses Cotesdurhone 2019,Cotesdurhone,France,2019,La Font Du Vent,Red,Unknown,16.99,3.9,,2.8326249356838407,5
Peter Falke Cabernet Sauvignon 2016,Stellenbosch,South Africa,2016,Peter Falke,Rose,Cabernet Sauvignon,19.42,3.9,,2.9663034628631797,8
Santa Rita 120 Merlot 2016,Central Valley,Chile,2016,Santa Rita,Rose,Merlot,7.35,3.2,,1.9947003132247452,8
Delas Domaine Des Tourettes Hermitage Rouge 2014,Hermitage,France,2014,Delas,White,Unknown,66.1,4.2,,4.19116874685764,10
Boschendal Shiraz 1685 Series 2017,Coastal Region,South Africa,2017,Boschendal,Sparkling,Shiraz,18.28,3.9,,2.905807566026004,7
Cusumano Sagana Tenuta San Giacomo 2016,Sicilia,Italy,2016,Cusumano,White,Unknown,29.19,3.9,,3.373826184866024,8
Clos Du Caillou Cotes Du Rhone Nature 2018,Cotesdurhone,France,2018,Clos Du Caillou,Sparkling,Unknown,20.94,3.7,,3.041661205442391,6
A Tribute To Grace Grenache 2018,Santa Barbara County,United States,2018,A Tribute To Grace,Red,Grenache,24.99,4.1,,3.2184757448468613,6
Stags Leap Winery Napa Valley Chardonnay 2020,Napa Valley,United States,2020,Stags Leap Wine Cellars,White,Chardonnay,26.99,4.2,13.5,3.295466427029913,4
Ramos Pinto Reserva Duas Quintas Tinto 2015,Douro,Portugal,2015,Ramos Pinto,Rose,Unknown,32.44,4.2,,3.479392229247212,9
Rocca Di Montemassi Le Focaie 2015,Maremma Toscana,Italy,2015,Rocca Di Montemassi,Red,Unknown,11.99,3.7,,2.484072969039423,9
Vinos De Arganza Alvarez De Toledo Godello 2021,unknown,Spain,2021,Alvarez De Toledo,White,Godello,11.99,4.8,,2.484072969039423,3
Col Dorcia Rosso Di Montalcino 2019,Rosso Di Montalcino,Italy,2019,Col Dorcia,Red,Unknown,24.99,3.5,,3.2184757448468613,5
Menhir Pietra Primitivo Susumaniello 2015,Salento,Italy,2015,Menhir,White,Primitivo,29.36,4.0,,3.379633203746315,9
Barramundi Shiraz 2018,South Eastern Australia,Australia,2018,Barramundi,Rose,Shiraz,7.05,3.2,,1.9530276168241767,6
Fairview Goats Do Roam Red 2017,Western Cape,South Africa,2017,Fairview,Red,Unknown,9.99,3.5,,2.3015845926604626,7
Columbia Crest Grand Estates Cabernet Sauvignon 2016,Columbia Valley,United States,2016,Columbia Crest,White,Cabernet Sauvignon,13.29,3.7,,2.587011872725154,8
Montecillo Rioja Gran Reserva 2009,Rioja,Spain,2009,Montecillo,Red,Rioja,22.8,3.9,,3.126760535960395,15
Bodegas Langa Classic 2017,Calatayud,Spain,2017,Bodegas Langa,Sparkling,Unknown,11.83,3.9,,2.470638677990296,7
Cantine Leonardo Da Vinci Leonardo Brunello Di Montalcino 2013,Brunello Di Montalcino,Italy,2013,Cantine Leonardo Da Vinci,Sparkling,Unknown,35.26,4.1,,3.562749176969724,11
Lomond Smv Shiraz Mourvedre Viognier 2014,Other,South Africa,2014,Lomond,White,Mourvedre,14.0,4.0,,2.6390573296152584,10
Gran Sasso La Bella Addormentata Terre Di Chieti Sangiovese 2018,Terre Di Chieti,Italy,2018,Gran Sasso,Sparkling,Sangiovese,7.94,3.6,,2.0719132752590443,6
Torres Mas La Plana Cabernet Sauvignon 2012,Penedes,Spain,2012,Torres,White,Cabernet Sauvignon,72.47,4.2,,4.28317268312119,12
Tenuta Di Nozzole Toscana Il Pareto 2013,Toscana,Italy,2013,Tenuta Di Nozzole,Sparkling,Unknown,52.51,4.1,,3.961003627649768,11
Clos Baste Madiran 2016,Madiran,France,2016,Clos Baste,Red,Madiran,20.07,3.7,,2.9992261628082466,8
Bodegas Roda Cirsion Rioja 2011,Rioja,Spain,2011,Bodegas Roda,White,Rioja,226.76,4.6,,5.423892189456104,13
Domaine Thenard Givry 1Er Cru Clos Du Cellier Aux Moines 2015,Other,France,2015,Domaine Thenard,White,Unknown,29.95,4.0,,3.3995293245614584,9
Bouchard Pere Fils Pommard 2016,Other,France,2016,Bouchard Pere Fils,Sparkling,Unknown,46.84,3.5,,3.8467375387295166,8
Layer Cake Shiraz 2019,South Australia,Australia,2019,Layer Cake,Red,Shiraz,13.99,3.4,,2.63834278867739,5
Bodega Finca Las Moras Las Moras Syrah 2019,San Juan,Argentina,2019,Bodega Finca Las Moras,Rose,Syrah,6.74,3.4,,1.908059924924216,5
Foradori Foradori Teroldego 2018,Vigneti Delle Dolomiti,Italy,2018,Foradori,Sparkling,Teroldego,19.59,3.9,,2.975019231956449,6
Casa Vinicola Bennati Amarone Della Valpolicella 2014,Amarone Della Valpolicella,Italy,2014,Casa Vinicola Bennati,Rose,Unknown,33.22,4.3,,3.503152104185149,10
Francois Villard Coterotie Le Gallet Blanc 2015,Coterotie,France,2015,Francois Villard,Red,Coterotie,45.57,4.3,,3.819249605275792,9
Tormaresca Aglianico Castel Del Monte Bocca Di Lupo 2014,Other,Italy,2014,Tormaresca,White,Aglianico,58.82,4.2,,4.074481933125849,10
Trapiche Oak Cask Syrah 2018,Mendoza,Argentina,2018,Trapiche,Rose,Syrah,8.64,3.8,,2.1564025828159643,6
Clos Leglise Pomerol 1999,Pomerol,France,1999,Clos Leglise,White,Pomerol,119.29,4.3,,4.781557503293855,25
Montgras Antu Cabernet Sauvignon 2015,Maipo Valley,Chile,2015,Montgras,White,Cabernet Sauvignon,13.56,3.8,,2.6071242825122494,9
Herdade Da Fonte Coberta Ouro Do Monte Tinto 2018,Alentejano,Portugal,2018,Herdade Da Fonte Coberta,Red,Unknown,7.99,3.3,,2.0781907597781832,6
Francois Villard Syrah Lappel Des Sereines 2017,Vin De France,France,2017,Francois Villard,Sparkling,Syrah,12.91,3.8,,2.558002204858551,7
Niepoort Douro Batuta Tinto 2016,Douro,Portugal,2016,Niepoort,Rose,Unknown,65.44,4.2,,4.181133692294491,8
Laudum Roble Monastrell Syrah 2019,Valencia,Spain,2019,Laudum,Red,Unknown,5.26,3.7,,1.6601310267496183,5
Balbas Ribera Del Duero Crianza 2014,Ribera Del Duero,Spain,2014,Balbas,Sparkling,Unknown,20.95,3.7,,3.042138646368147,10
Michel Gassier Nostre Pais Rouge 2015,Costieresdenimes,France,2015,Michel Gassier,Rose,Pais,32.55,3.7,,3.482777368654578,9
Burg Ravensburg Dicker Franz Blaufrankisch 2012,Baden,Germany,2012,Burg Ravensburg,Sparkling,Blaufrankisch,33.73,4.1,,3.5183876490735586,12
Erasmo Unfiltered Red 2013,Maule Valley,Chile,2013,Erasmo,White,Unknown,22.84,3.9,,3.128513384787809,11
Domaine De La Tour Du Bon Bandol Rouge 2017,Bandol,France,2017,Domaine De La Tour Du Bon,White,Unknown,22.43,3.7,,3.110399348532117,7
Frescobaldi Pian Di Remole Rosso 2018,Toscana,Italy,2018,Frescobaldi,White,Unknown,7.29,3.2,,1.986503546020567,6
Domaine De Lhortus Le Loup Dans La Bergerie 2019,Other,France,2019,Domaine De Lhortus,White,Unknown,8.41,3.5,,2.1294214739848565,5
Zabu Il Passo Verde Nero Davola 2019,Terre Siciliane,Italy,2019,Zabu,Rose,Nero Davola,10.26,3.7,,2.3282528397426234,5
Passo Grande Appassimento Rosso 2017,Puglia,Italy,2017,Passo Grande,Sparkling,Unknown,7.9,4.0,,2.066862759472976,7
Argiano Brunello Di Montalcino 2012,Brunello Di Montalcino,Italy,2012,Argiano,Red,Unknown,36.73,4.1,,3.603593859831576,12
Barons De Rothschild Lafite Legende R Bordeaux Rouge 2015,Bordeaux,France,2015,Barons De Rothschild Lafite,White,Unknown,23.49,3.5,,3.156574798670821,9
Chateau Haut Condissas Prestige Medoc 1999,Medoc,France,1999,Chateau Haut Condissas,Sparkling,Unknown,58.27,4.0,,4.065087381154982,25
Kellerei Meran Graf Von Meran Lagrein 2018,Sudtirol Alto Adige,Italy,2018,Kellerei Meran,Sparkling,Lagrein,17.31,4.1,,2.851284369188118,6
Chateau Leoville Las Cases Clos Du Marquis Saintjulien 2016,Saintjulien,France,2016,Chateau Leoville Las Cases,Sparkling,Unknown,78.79,4.1,,4.366786085257597,8
Montes Folly Syrah 2017,Colchagua Valley,Chile,2017,Montes,Red,Syrah,61.79,4.4,,4.123741539072888,7
Chateau Clinet Pomerol By Clinet 2014,Pomerol,France,2014,Chateau Clinet,Red,Pomerol,34.16,3.6,,3.531055368920369,10
Morgenster Estate Rouge Estate Reserve 2012,Stellenbosch,South Africa,2012,Morgenster Estate,Sparkling,Unknown,39.6,4.1,,3.6788291182604342,12
Bodega Norton Reserva Cabernet Sauvignon 2013,Lujan De Cuyo,Argentina,2013,Bodega Norton,Red,Cabernet Sauvignon,11.99,3.5,,2.484072969039423,11
Paul Achs Pinot Noir 2015,Burgenland,Austria,2015,Paul Achs,White,Pinot Noir,35.86,3.7,,3.5796224681769866,9
Tenuta Il Palagio Sister Moon 2015,Toscana,Italy,2015,Tenuta Il Palagio,Sparkling,Unknown,46.6,4.2,,3.8416005411316,9
