name,Region,Country,Vintage,Producer,Wine Variety,Grape Variety,Price ($),Average Rating,ABV,Log Price,Age
Chateau La Confession Saintemilion Grand Cru 2014,Saintemilion Grand Cru,France,2014,Chateau La Confession,Red,Unknown,29.19,3.9,,3.373826184866024,10
Beronia Rioja Tempranillo Elaboracion Especial 2017,Rioja,Spain,2017,Beronia,Red,Tempranillo,13.01,3.7,,2.565718292524414,7
Drei Dona Tenuta La Palazza Notturno Sangiovese 2017,Other,Italy,2017,Drei Dona Tenuta La Palazza,White,Sangiovese,11.92,3.7,,2.478217661637204,7
Domaine Lafage Cote Sud 2018,Cotes Catalanes,France,2018,Domaine Lafage,Sparkling,Unknown,8.52,3.6,,2.1424163408412245,6
Allegrini Valpolicella Superiore 2014,Valpolicella,Italy,2014,Allegrini,Red,Unknown,14.28,3.7,,2.658859956911438,10
Tianna Negre Tinto 2015,Binissalemmallorca,Spain,2015,Tianna Negre,Red,Unknown,41.67,4.2,,3.729781445434362,9
Zantho Blaufrankisch 2015,Burgenland,Austria,2015,Zantho,Rose,Blaufrankisch,8.88,3.6,,2.183801557004079,9
Firriato Altavilla Della Corte Syrah 2016,Terre Siciliane,Italy,2016,Firriato,Red,Syrah,11.77,3.6,,2.465553921272185,8
Castillo Clavijo Rioja Reserva 2013,Rioja,Spain,2013,Castillo Clavijo,White,Rioja,13.17,3.9,,2.5779415157551897,11
Stags Leap Wine Cellars Hands Of Time Red Blend 2018,Napa Valley,United States,2018,Stags Leap Wine Cellars,Red,Bordeaux Red Blends,32.03,4.1,14.5,3.466672963621067,6
Chateau La Providence Pomerol 2012,Pomerol,France,2012,Chateau La Providence,Red,Pomerol,86.96,4.3,,4.465448242812953,12
Conte Di Campiano Primitivo Di Manduria 2017,Primitivo Di Manduria,Italy,2017,Conte Di Campiano,Red,Primitivo,8.46,4.0,,2.135349173618132,7
Podere Sapaio Sapaio Bolgheri Superiore 2015,Bolgheri Superiore,Italy,2015,Podere Sapaio,Rose,Unknown,55.5,4.1,,4.0163830207523885,9
Achavalferrer Malbec 2014,Mendoza,Argentina,2014,Achavalferrer,Rose,Malbec,18.99,3.9,,2.9439125248241944,10
Durigutti Family Winemakers Durigutti Cabernet Sauvignon 2019,Mendoza,Argentina,2019,Durigutti Family Winemakers,Red,Cabernet Sauvignon,18.99,3.8,,2.9439125248241944,5
Fairview Goats Do Roam Red 2020,Western Cape,South Africa,2020,Fairview,Red,Unknown,8.98,3.5,,2.1949998823141086,4
Trapiche Oak Cask Malbec 2018,Mendoza,Argentina,2018,Trapiche,Red,Malbec,8.64,3.6,,2.1564025828159643,6
Marc Bredif Chinon Rouge 2019,Chinon,France,2019,Marc Bredif,Red,Unknown,23.99,3.7,,3.177637076851603,5
Dehesa De Luna Origenes 2017,Castilla Y Leon,Spain,2017,Dehesa De Luna,Rose,Unknown,11.31,3.7,,2.425687290128029,7
Beringer Founders Estate Cabernet Sauvignon 2016,California,United States,2016,Beringer,Red,Cabernet Sauvignon,8.99,3.8,,2.196112848483529,8
Pittacum Petit Pittacum 2016,Bierzo,Spain,2016,Pittacum,White,Unknown,9.49,3.5,,2.2502386126218363,8
Volver Tarima Hill Old Vines Monastrell 2017,Alicante,Spain,2017,Volver,Red,Monastrell,15.99,3.9,,2.771963526845863,7
Clos Du Montolivet Cotes Du Rhone Vieilles Vignes 2019,Cotesdurhone,France,2019,Clos Du Montolivet,Red,Unknown,18.99,4.1,,2.9439125248241944,5
Peter Lehmann Futures Shiraz 2014,Barossa,Australia,2014,Peter Lehmann,Rose,Shiraz,21.07,3.8,,3.047850227816097,10
Francis Ford Coppola Diamond Collection Pinot Noir Silver Label 2017,Monterey County,United States,2017,Francis Ford Coppola Winery,Sparkling,Pinot Noir,31.52,3.5,,3.4506222649896783,7
Edge Cabernet Sauvignon 2018,Alexander Valley,United States,2018,Edge,Red,Cabernet Sauvignon,26.99,4.0,,3.295466427029913,6
Armida Zinfandel 2018,Dry Creek Valley,United States,2018,Armida,Red,Zinfandel,23.99,3.7,,3.177637076851603,6
Domodo Negroamaro 2018,Puglia,Italy,2018,Domodo,Rose,Negroamaro,5.37,3.6,,1.6808279085207734,6
Woodhaven Zinfandel 2018,California,United States,2018,Woodhaven,Red,Zinfandel,8.63,4.0,,2.155244505095337,6
Mas Den Gil Vi De Villa Bellmunt Priorat Tinto 2016,Priorat,Spain,2016,Mas Den Gil,White,Unknown,21.24,3.8,,3.055886196373738,8
Laibach Pinotage 2015,Stellenbosch,South Africa,2015,Laibach,Red,Pinotage,18.34,3.8,,2.9090844668283187,9
Tenimenti Dalessandro Il Bosco Syrah 2013,Cortona,Italy,2013,Tenimenti Dalessandro,Sparkling,Syrah,31.52,4.1,,3.4506222649896783,11
Chateau De Francs Francs Cotes De Bordeaux Les Cerisiers 2015,Other,France,2015,Chateau De Francs,White,Unknown,17.36,3.7,,2.854168709232204,9
Chateau Etang Des Colombes Bicentenaire Vieilles Vignes Corbieres 2015,Corbieres,France,2015,Chateau Etang Des Colombes,Sparkling,Unknown,8.94,3.7,,2.190535589185423,9
Dalton Oak Aged Petite Sirah 2017,Galilee,Israel,2017,Dalton,Red,Petite Sirah,21.99,3.8,,3.090587804566669,7
Lafken Single Vineyard Series Carmenere 2018,Maipo Valley,Chile,2018,Lafken,Red,Carmenere,26.75,4.0,,3.2865344733420154,6
Rawsons Retreat Shiraz Cabernet 2018,South Eastern Australia,Australia,2018,Rawsons Retreat,Red,Shiraz,7.93,3.5,,2.0706530356467567,6
Larchago Izarbe Gran Reserva 2006,Rioja,Spain,2006,Larchago,Rose,Unknown,31.36,4.3,,3.4455331954822075,18
Rapido Sangiovese 2019,Puglia,Italy,2019,Rapido,Red,Sangiovese,7.35,3.5,,1.9947003132247452,5
