,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,category
8236,Harmonie de Gascogne Rouge 2018,France,Côtes de Gascogne,Domaine de Pellehaut,3.8,883,6.29,2018,red
8237,Cum Laude 2015,Italy,Toscana,Banfi,3.8,883,12.6,2015,red
8238,Lagone Toscana 2017,Italy,Toscana,Aia Vecchia,3.7,884,10.62,2017,red
8239,Castello Fonterutoli Chianti Classico Gran Selezione 2015,Italy,Chianti Classico,Mazzei,4.2,885,38.0,2015,red
8240,Tenuta Lodola Nuova Vino Nobile di Montepulciano 2014,Italy,Vino Nobile di Montepulciano,Ruffino,3.6,885,18.86,2014,red
8241,Ultreia Valtuille Mencía 2016,Spain,Bierzo,Raúl Pérez,4.1,885,55.9,2016,red
8242,Luce 2014,Italy,Toscana,Luce della Vite,4.3,887,86.76,2014,red
8243,Don Maximiano Founder's Reserve 2011,Chile,Aconcagua Valley,Errazuriz,4.4,887,77.01,2011,red
8244,Margaux (Grand Cru Classé) 2010,France,Margaux,Château Malescot St. Exupery,4.3,888,117.95,2010,red
8245,Marius Grenache - Syrah 2018,France,Pays d'Oc,M. Chapoutier,3.5,888,6.5,2018,red
8246,Cabernet Sauvignon Gran Reserva 2017,Chile,Maipo Valley,Casas del Bosque,4.1,888,13.95,2017,red
8247,Crianza 2014,Spain,Ribera del Duero,Áster,3.8,889,18.84,2014,red
8248,Cabernet Sauvignon 2014,United States,Napa Valley,Paul Hobbs,4.5,889,129.0,2014,red
8249,Sainte-Épine Saint-Joseph 2011,France,Saint-Joseph,Delas,4.3,89,48.64,2011,red
8250,Boğazkere - Öküzgözü 2018,Turkey,Thrace,Suvla,3.7,89,11.5,2018,red
8251,Volnay Santenots-Du-Milieu Premier Cru 2015,France,Volnay Premier Cru,Domaine des Comtes Lafon,4.4,89,139.0,2015,red
8252,Shiraz 2017,Argentina,Mendoza,Argento,3.4,89,9.99,2017,red
8253,Case Via Syrah 2013,Italy,Colli della Toscana Centrale,Fontodi,3.9,89,37.04,2013,red
8254,Reserve Syrah Single Vineyard Bozokbag 2013,Turkey,Thrace,Suvla,4.2,89,35.0,2013,red
8255,Domaine des Hospice de Belleville Brouilly 2016,France,Brouilly,Joseph Drouhin,3.6,89,15.39,2016,red
8256,Sangiovese Maremma Toscana Francesco Zonin 2018,Italy,Maremma Toscana,Zonin,3.4,89,6.58,2018,red
8257,Les Terroirs Faugères 2017,France,Faugères,Calmel & Joseph,3.6,89,8.7,2017,red
8258,Médoc 2015,France,Médoc,Château Leboscq,3.5,89,13.9,2015,red
8259,Gigondas Rouge 2015,France,Gigondas,Château du Trignon,3.8,89,22.79,2015,red
8260,Barolo 2012,Italy,Barolo,Serre dei Roveri,3.3,89,21.5,2012,red
8261,Côtes de Provence Rouge 2018,France,Côtes de Provence,Marchandise,3.8,89,12.34,2018,red
8262,Réserve Spéciale Syrah 2018,France,Pays d'Oc,Gérard Bertrand,3.6,89,8.32,2018,red
8263,Beaune 1er Cru 'Clos des Mouches' 2017,France,Beaune 1er Cru 'Le Clos des Mouches',Joseph Drouhin,4.3,89,105.0,2017,red
8264,Maremmante Maremma 2016,Italy,Toscana,Poggio Argentiera,3.5,89,8.67,2016,red
8265,Barrel Select Cabernet - Syrah 2018,Argentina,Tulum Valley,Bodega Finca Las Moras,3.6,89,9.37,2018,red
8266,Les Cépages Syrah 2017,France,Pays d'Oc,Baron Philippe de Rothschild,3.4,89,8.69,2017,red
8267,Sa Talaia Negre 2016,Spain,Mallorca,Cap Andritxol,3.8,89,18.03,2016,red
8268,Moulis 2015,France,Moulis-en-Médoc,Château Branas Grand Poujeaux,4.1,89,40.94,2015,red
8269,Cabanon Côtes du Roussillon Villages 2014,France,Côtes du Roussillon Villages,Thunevin-Calvet,3.7,89,12.48,2014,red
8270,Lucale Appassimento Primitivo 2017,Italy,Puglia,Masseria Borgo dei Trulli,3.8,89,8.9,2017,red
8271,Les Grès 2017,France,La Clape,Domaine de Boède,3.8,89,23.2,2017,red
8272,Grenache 2018,South Africa,Swartland,David & Nadia,4.0,89,34.15,2018,red
8273,Ermitage Ex-Voto 2012,France,Hermitage,E. Guigal,4.4,89,299.0,2012,red
8274,Cuvée Charlotte 2013,Romania,Dealu Mare,Serve,4.1,89,26.9,2013,red
8275,Rioja Reserva Mazuelo 2015,Spain,Rioja,Beronia,3.9,89,14.19,2015,red
8276,Folly Syrah 2017,Chile,Colchagua Valley,Montes,4.4,89,56.95,2017,red
8277,Fonterutoli Chianti Classico 2010,Italy,Chianti Classico,Mazzei,3.8,890,38.7,2010,red
8278,HEBO (Suvereto) 2017,Italy,Toscana,Petra,3.8,890,13.95,2017,red
8279,Aglianico Riserva Contado 2013,Italy,Molise,Di Majo Norante,3.7,891,11.4,2013,red
8280,Monte Llano Tempranillo Rioja 2017,Spain,Rioja,Monte Llano,3.7,892,6.9,2017,red
8281,Li Filitti Riserva Primitivo di Manduria 2015,Italy,Primitivo di Manduria,Masca del Tacco,4.2,892,15.95,2015,red
8282,Premier Vin 2015,France,Castillon - Côtes de Bordeaux,Château de Pitray,3.7,892,12.5,2015,red
8283,Saint-Julien 2012,France,Saint-Julien,Château Lalande-Borie,4.0,892,36.11,2012,red
8284,Saint-Julien (Grand Cru Classé) 2002,France,Saint-Julien,Château Léoville Barton,4.2,893,89.95,2002,red
8285,Toscana Mediterra 2016,Italy,Toscana,Poggio Al Tesoro,4.0,894,12.48,2016,red
8286,Haut-Médoc (Grand Cru Classé) 2014,France,Haut-Médoc,Château Cantemerle,3.8,896,34.02,2014,red
8287,Ventoux Terrasses 2017,France,Ventoux,Château Pesquie,3.8,896,9.5,2017,red
8288,Pessac-Léognan (Grand Cru Classé de Graves) 2014,France,Pessac-Léognan,Château Pape Clément,4.3,898,89.0,2014,red
8289,Saint-Julien 2005,France,Saint-Julien,Château Gloria,4.1,899,65.95,2005,red
8290,Shiraz 2016,United States,California,Gallo Family Vineyards,3.5,90,6.31,2016,red
8291,Mandus Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Pietra Pura,4.0,90,7.63,2018,red
8292,Haut-Médoc 2017,France,Haut-Médoc,Château Sociando-Mallet,4.0,90,54.36,2017,red
8293,Trilogy 2016,South Africa,Stellenbosch,Warwick,3.9,90,23.79,2016,red
8294,Rosso di Montalcino 2017,Italy,Rosso di Montalcino,Poggio San Polo,3.7,90,16.9,2017,red
8295,Red 2017,South Africa,Stellenbosch,Meerlust,3.9,90,13.9,2017,red
8296,Spätburgunder 2016,Germany,Pfalz,Rings,3.6,90,29.41,2016,red
8297,The Garland 2011,South Africa,Stellenbosch,Simonsig,4.5,90,63.15,2011,red
8298,Petit Verdot 2016,Spain,Dominio de Valdepusa,Marqués de Griñon,4.0,90,27.36,2016,red
8299,Fixin 'Coeur de Violette' 2016,France,Fixin,Frédéric Magnien,3.6,90,29.15,2016,red
8300,Grande Reserva Alentejano Tinto 2014,Portugal,Alentejano,Monte Cascas,4.0,90,21.45,2014,red
8301,Kalk und Schiefer Blaufränkisch 2018,Austria,Burgenland,Anita Nittnaus Hans,4.1,90,12.69,2018,red
8302,Sagrantino Montefalco Chiusa di Pannone 2011,Italy,Montefalco,Antonelli San Marco,4.2,90,44.0,2011,red
8303,Tramp 2015,Spain,Catalunya,Can Grau Vell,3.7,90,30.99,2015,red
8304,Fleurie 2018,France,Fleurie,Terres Dorées,3.8,90,18.9,2018,red
8305,Le Cirque Rouge 2016,France,Côtes Catalanes,Vignerons de Tautavel Vingrau,3.4,90,6.83,2016,red
8306,Saustó 2013,Italy,Valpolicella,Monte Dall'Ora,3.9,90,27.9,2013,red
8307,Intenso Tannat 2013,Brazil,Campanha,Salton,3.3,90,9.95,2013,red
8308,Haut-Médoc 2016,France,Haut-Médoc,Château Clement-Pichon,3.6,90,24.18,2016,red
8309,La Gargantilla Garnacha 2015,Spain,Rioja,Bodegas Valdemar,3.8,90,36.99,2015,red
8310,Barbaresco Bordini 2016,Italy,Barbaresco,Elvio Cogno,3.9,90,26.5,2016,red
8311,Harlequin Shiraz - Pinotage 2017,South Africa,Wellington,Diemersfontein,3.9,90,8.5,2017,red
8312,Les Terroirs Côtes du Roussillon Villages 2016,France,Côtes du Roussillon Villages,Calmel & Joseph,3.6,90,8.7,2016,red
8313,Pomerol 2016,France,Pomerol,Château Bourgneuf (Vieux Château Bourgneuf),4.0,90,51.6,2016,red
8314,Reserva Rioja Tempranillo 2009,Spain,Rioja,Baigorri,4.0,901,56.54,2009,red
8315,Bourgogne Hautes-Côtes de Beaune 2016,France,Bourgogne Hautes-Côtes de Beaune,Bouchard Père & Fils,3.8,901,17.21,2016,red
8316,Merlot (Grande Vindima) 2008,Brazil,Encruzilhada do Sul,Lidio Carraro,3.9,902,45.77,2008,red
8317,Saint-Julien (Grand Cru Classé) 1998,France,Saint-Julien,Château Léoville Barton,4.2,902,89.95,1998,red
8318,John X Merriman 2016,South Africa,Stellenbosch,Rustenberg,4.0,902,19.3,2016,red
8319,Gran Reserva Cabernet Sauvignon 2017,Chile,Maipo Valley,Santa Ema,3.9,903,9.5,2017,red
8320,Benuara (Tenuta Presti e Pegni) 2015,Italy,Terre Siciliane,Cusumano,3.7,903,11.95,2015,red
8321,Corimbo 2014,Spain,Ribera del Duero,Bodegas La Horra,4.0,904,22.95,2014,red
8322,Oak Cask Cabernet Sauvignon 2018,Argentina,Mendoza,Trapiche,3.5,906,7.36,2018,red
8323,Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.3,908,41.61,2012,red
8324,Papale Linea Oro Primitivo di Manduria 2016,Italy,Primitivo di Manduria,Varvaglione,4.3,909,18.84,2016,red
8325,Casa Real Cabernet Sauvignon 2012,Chile,Maipo Valley,Santa Rita,4.0,909,38.94,2012,red
8326,Santa Digna Reserva Carmenère 2018,Chile,Central Valley,Miguel Torres,3.8,909,8.9,2018,red
8327,Chante Perdrix Cornas 2016,France,Cornas,Delas,4.0,91,38.89,2016,red
8328,Icarus Red 2014,South Africa,Breede River Valley,Bergsig Estate,4.2,91,30.31,2014,red
8329,Côte à Côte Estate 2013,United States,Paso Robles,L'Aventure,4.4,91,109.0,2013,red
8330,Pinot Noir Central Coast 2015,United States,Central Coast,DeLoach,3.7,91,19.99,2015,red
8331,Ceppitaio 2017,Italy,Toscana,Russo,3.7,91,9.95,2017,red
8332,Passo del Bricco 2017,Italy,Piemonte,Patrizi,3.8,91,5.25,2017,red
8333,Pauillac (Grand Cru Classé) 2017,France,Pauillac,Château Pichon Baron,4.3,91,160.84,2017,red
8334,Eight Songs Shiraz 2015,Australia,Barossa,Peter Lehmann,4.1,91,28.42,2015,red
8335,Grande Cuvée 2017,Austria,Burgenland,Salzl Seewinkelhof,3.9,91,14.35,2017,red
8336,Can Catorra 2014,Spain,Binissalem-Mallorca,Biniagual,3.8,91,19.3,2014,red
8337,Brachetto d'Acqui 2019,Italy,Brachetto d'Acqui,Braida,3.9,91,12.5,2019,red
8338,Barolo Cannubi 2013,Italy,Barolo,Borgogno,4.3,91,94.65,2013,red
8339,BF Lahrer Spätburgunder 2017,Germany,Baden,Weingut Wöhrle,3.6,91,16.66,2017,red
8340,Montegrilli Nebbiolo Langhe 2018,Italy,Langhe,Elvio Cogno,3.4,91,15.95,2018,red
8341,Cabernet Sauvignon 2017,Romania,Danube,La Cetate,3.8,91,13.9,2017,red
8342,Coste a Preola Nero d'Avola 2018,Italy,Sicilia,Tenuta Gorghi Tondi,3.9,91,8.72,2018,red
8343,Shiraz 2015,South Africa,Paarl,Niel Joubert,3.4,91,6.25,2015,red
8344,Doix 2014,Spain,Priorat,Mas Doix,4.4,91,83.06,2014,red
8345,Tinto 2015,Spain,Dominio de Valdepusa,Lesegut,3.7,91,11.89,2015,red
8346,Rivarossa 2016,Italy,Venezia Giulia,Schiopetto,4.1,91,19.9,2016,red
8347,Barolo Lazzarito 2013,Italy,Barolo,Vietti,4.2,91,154.23,2013,red
8348,Grande Cuvée 2017,Austria,Burgenland,Salzl Seewinkelhof,3.9,91,17.29,2017,red
8349,Nuits-Saint-Georges 2015,France,Nuits-Saint-Georges,Domaine des Perdrix,4.4,91,115.7,2015,red
8350,L'Ermita Velles Vinyes Priorat 2006,Spain,Priorat,Álvaro Palacios,4.6,91,580.0,2006,red
8351,Garnacha - Syrah Somontano 2016,Spain,Somontano,Viñas del Vero,3.4,91,6.63,2016,red
8352,Pomerol 2014,France,Pomerol,Château Certan de May,4.2,91,116.0,2014,red
8353,Schwarzer 2016,Germany,Pfalz,Weingut Metzger,3.7,91,13.15,2016,red
8354,Saint-Emilion Grand Cru (Premier Grand Cru Classé) 2004,France,Saint-Émilion Grand Cru,La Mondotte,4.4,91,146.24,2004,red
8355,La Luna e i Falò Barbera d'Asti Superiore 2016,Italy,Barbera d'Asti,Vite Colte,4.0,911,12.95,2016,red
8356,Románico 2016,Spain,Toro,Teso La Monja,3.7,911,9.95,2016,red
8357,Papale Primitivo di Manduria 2017,Italy,Primitivo di Manduria,Varvaglione,4.0,913,9.7,2017,red
8358,Barbazul Tinto 2016,Spain,Cádiz,Huerta de Albala,3.7,915,10.41,2016,red
8359,Pomerol 2010,France,Pomerol,Château de Sales,3.9,916,48.8,2010,red
8360,Abadia Cabernet Sauvignon - Tempranillo 2016,Spain,Costers del Segre,Raimat,3.4,916,7.89,2016,red
8361,Big John Cuvée Reserve 2016,Austria,Burgenland,Scheiblhofer,4.1,916,18.2,2016,red
8362,Bolgheri Superiore 2016,Italy,Bolgheri Superiore,Ornellaia,4.6,919,189.15,2016,red
8363,Sonoma Coast Pinot Noir 2016,United States,Sonoma Coast,Patz & Hall,4.2,919,54.0,2016,red
8364,Jacksons Pinotage 2015,South Africa,Walker Bay,Stanford Hills,4.1,92,13.95,2015,red
8365,Pinot Noir 2017,United States,Sonoma Coast,Schug,3.8,92,29.47,2017,red
8366,Rouge 2005,France,Castillon - Côtes de Bordeaux,Domaine de l'A,4.1,92,46.95,2005,red
8367,Barbaresco Bernardot 2013,Italy,Barbaresco,Ceretto,4.0,92,85.0,2013,red
8368,Los Cantos de Torremilanos 2017,Spain,Ribera del Duero,Finca Torremilanos,3.7,92,12.19,2017,red
8369,Varietales Syrah 2017,Argentina,San Rafael,Goyenechea,3.2,92,6.5,2017,red
8370,Antique Cairanne 2016,France,Cairanne,Camille Cayran,4.0,92,13.44,2016,red
8371,Amarone 2016,Italy,Amarone della Valpolicella,Villa Cavarena,3.8,92,38.46,2016,red
8372,Stilio Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Mottura,4.3,92,13.9,2018,red
8373,Collection Secrète Red 2015,Georgia,Kakheti,Mukhrani,3.9,92,26.03,2015,red
8374,The Corroboree Shiraz 2016,Australia,Barossa,RedHeads,3.9,92,18.9,2016,red
8375,Cabernet Sauvignon 2016,South Africa,Stellenbosch,Neethlingshof Estate,3.7,92,10.23,2016,red
8376,Chianti Classico Riserva Novecento 2016,Italy,Chianti Classico,Dievole,4.0,92,23.0,2016,red
8377,Las Moras Cabernet Sauvignon 2018,Argentina,San Juan,Bodega Finca Las Moras,3.4,92,6.21,2018,red
8378,Barbera Piemonte 2018,Italy,Piemonte,Araldica,3.5,92,6.3,2018,red
8379,Côtes du Rhône 2018,France,Côtes-du-Rhône,Domaine de la Solitude,3.8,92,9.0,2018,red
8380,Côtes du Rhône 'Les Peyrouses' 2016,France,Côtes-du-Rhône,Alain Voge,3.9,92,17.0,2016,red
8381,Vinya La Scala Gran Reserva Cabernet Sauvignon 2012,Spain,Penedès,Jean Leon,4.3,92,52.63,2012,red
8382,Brunello di Montalcino 2015,Italy,Brunello di Montalcino,Ciacci Piccolomini d'Aragona,4.2,92,42.4,2015,red
8383,Steinzeiler 2015,Austria,Burgenland,Kollwentz,4.4,92,58.8,2015,red
8384,Barolo Gavarini Chiniera 2014,Italy,Barolo,Elio Grasso,4.0,92,75.0,2014,red
8385,Via Nuova Barolo 2012,Italy,Barolo,E. Pira & Figli,4.2,92,59.0,2012,red
8386,Pomerol 2000,France,Pomerol,Château Moulinet-Lasserre,4.3,92,49.5,2000,red
8387,Mirinè Nebbiolo d'Alba 2016,Italy,Nebbiolo d'Alba,Paolo Manzone,3.9,92,19.4,2016,red
8388,Pinotage 2015,South Africa,Stellenbosch,Laibach,3.8,92,16.9,2015,red
8389,Pessac-Léognan 2014,France,Pessac-Léognan,Château Carbonnieux,4.0,920,49.55,2014,red
8390,Chateau Smith Cabernet Sauvignon 2016,United States,Columbia Valley,Charles Smith,3.7,920,21.93,2016,red
8391,Tinto 2018,Portugal,Lisboa,Quinta das Amoras,3.8,922,4.99,2018,red
8392,Haut-Médoc 2014,France,Haut-Médoc,Château Charmail,3.8,922,19.95,2014,red
8393,Moulis-en-Médoc 2013,France,Moulis-en-Médoc,Château Chasse-Spleen,3.6,922,35.9,2013,red
8394,Classic Red Blend 2018,South Africa,Western Cape,Roodeberg,3.6,923,7.2,2018,red
8395,Syrah 2015,Chile,Peumo,Marques de Casa Concha,3.9,925,20.54,2015,red
8396,Appassimento Barbera Passito 2018,Italy,Piemonte,San Silvestro,3.8,925,11.6,2018,red
8397,Crianza 2016,Spain,Ribera del Duero,Portia,3.8,927,12.99,2016,red
8398,Brunello di Montalcino 2012,Italy,Brunello di Montalcino,Poggio Antico,4.4,928,55.51,2012,red
8399,Pessac-Léognan 1997,France,Pessac-Léognan,Château La Louvière,4.0,93,34.99,1997,red
8400,Syrah Desertico 2018,Italy,Sicilia,Mandrarossa,3.8,93,6.0,2018,red
8401,Pinot Noir 2016,Austria,Burgenland,Paul Achs,3.9,93,36.9,2016,red
8402,Ariana 2017,Spain,Lanzarote,El Grifo,3.9,93,19.99,2017,red
8403,Ticino 2016,Switzerland,Ticino,Castello di Morcote,4.0,93,43.87,2016,red
8404,Inspiración Balcón de Pilatos Maturana 2016,Spain,Rioja,Bodegas Valdemar,4.1,93,25.99,2016,red
8405,Calestaia 2013,Italy,Morellino di Scansano,Roccapesta,4.0,93,36.7,2013,red
8406,Artigas 2017,Spain,Priorat,Bodegas Mas Alta,4.1,93,21.25,2017,red
8407,Ried Hochberg Blaufränkisch 2012,Austria,Mittelburgenland,Hans Igler,3.6,93,13.43,2012,red
8408,Côte-Rôtie La Mordorée 1999,France,Côte-Rôtie,M. Chapoutier,4.3,93,179.95,1999,red
8409,Premium Zenovius Cabernet Sauvignon - Shiraz Sec 2016,Romania,Dealu Mare,Budureasca,3.6,93,10.5,2016,red
8410,Margaux (Grand Cru Classé) 2017,France,Margaux,Château Brane-Cantenac,3.9,93,86.76,2017,red
8411,Montepulciano d'Abruzzo 2018,Italy,Montepulciano d'Abruzzo,Caldora,3.6,93,4.63,2018,red
8412,Le Clos Guillot Chinon 2017,France,Chinon,Bernard Baudry,3.9,93,21.74,2017,red
8413,PrimoVolo 2007,Italy,Toscana,Rocca delle Macìe,4.0,93,27.79,2007,red
8414,Côte de Nuits Villages Le Vaucrain 2015,France,Côte de Nuits Villages,Louis Jadot,3.7,93,31.95,2015,red
8415,Chremisa Edition Blauer Zweigelt 2016,Austria,Kremstal,Winzer Krems,3.9,93,14.9,2016,red
8416,Pumphouse Shiraz 2017,South Africa,Paarl,Backsberg,3.8,93,14.9,2017,red
8417,Preludio 2017,Spain,Ribera del Duero,Sei Solo,4.3,93,24.99,2017,red
8418,Limoux 2016,France,Limoux,Domaine de Baron'arques,3.7,93,38.75,2016,red
8419,Pièce de Roche 2014,France,Languedoc-Roussillon,Famille Lignères - Château La Baronne,3.9,93,28.1,2014,red
8420,Pure Oh! Rigine Beaujolais 2018,France,Beaujolais,Les Bertrand,4.2,93,16.47,2018,red
8421,Gran Reserva Rioja 2011,Spain,Rioja,Viña Bujanda,4.1,93,17.23,2011,red
8422,Mantènghja 2015,Italy,Isola dei Nuraghi,Capichera,4.4,93,86.76,2015,red
8423,Frenesí 2017,Spain,Calatayud,Bodegas Langa,3.7,93,7.75,2017,red
8424,Médoc 2015,France,Médoc,Château La Raze Beauvallet,3.7,93,12.99,2015,red
8425,Gold Edition 2009,France,Côtes du Roussillon Villages,Bad Boy (Mauvais Garçon),3.9,93,57.51,2009,red
8426,Barolo Aeroplan Servaj 2007,Italy,Barolo,Domenico Clerico,4.2,93,110.74,2007,red
8427,Merlot 2016,Chile,Peumo,Marques de Casa Concha,3.9,931,14.5,2016,red
8428,Aglianico Del Vulture Piano Del Cerro 2016,Italy,Aglianico del Vulture,Vigneti del Vulture,4.2,935,15.42,2016,red
8429,El Picaro 2019,Spain,Toro,Matsu,3.9,935,7.35,2019,red
8430,Pasionado Cuatro Cepas 2014,Argentina,Gualtallary,Andeluna,4.3,935,31.1,2014,red
8431,Mas Rabell 2017,Spain,Catalunya,Torres,3.8,936,7.2,2017,red
8432,Margaux (Grand Cru Classé) 2010,France,Margaux,Château Lascombes,4.3,936,129.0,2010,red
8433,Lucente 2017,Italy,Toscana,Luce della Vite,4.0,936,24.75,2017,red
8434,Alta Mora Etna Rosso 2014,Italy,Etna,Cusumano,3.8,937,29.95,2014,red
8435,Finca El Otero 2014,Spain,Ribera del Duero,Áster,4.2,937,36.52,2014,red
8436,Periquita Tinto (Original) 2018,Portugal,Península de Setúbal,José Maria da Fonseca,3.7,937,6.5,2018,red
8437,Les Cépages Pinot Noir 2017,France,Pays d'Oc,Baron Philippe de Rothschild,3.3,937,8.78,2017,red
8438,Saint-Estèphe 2005,France,Saint-Estèphe,Château Haut-Marbuzet,4.2,937,62.95,2005,red
8439,Papillon 2017,United States,Napa Valley,Orin Swift,4.5,937,86.76,2017,red
8440,Croix de Beaucaillou Saint-Julien 2010,France,Saint-Julien,Château Ducru-Beaucaillou,4.2,938,52.95,2010,red
8441,San Leonardo 2010,Italy,Vigneti delle Dolomiti,San Leonardo,4.3,938,73.9,2010,red
8442,Douro Grande Reserva 2015,Portugal,Douro,Quinta do Pégo,3.8,94,16.09,2015,red
8443,Bricco della Bigotta Barbera d'Asti 2014,Italy,Barbera d'Asti,Braida,4.0,94,52.0,2014,red
8444,Froi Barbaresco 2015,Italy,Barbaresco,Rivetti Massimo,3.8,94,24.1,2015,red
8445,Merlot 2017,Chile,Casablanca Valley,Veramonte,3.5,94,8.72,2017,red
8446,Pomerol 2016,France,Pomerol,Château La Fleur-Pétrus,4.5,94,279.95,2016,red
8447,Haut-Médoc 2008,France,Haut-Médoc,Château Liversan,3.5,94,19.65,2008,red
8448,Morellino di Scansano Riserva 2016,Italy,Morellino di Scansano,Fattoria le Pupille,3.9,94,15.04,2016,red
8449,Orgion 2016,Greece,Slopes of Enos,Sclavus (Sclavos),3.9,94,15.7,2016,red
8450,Givry 1er Cru 'A Vigne Rouge' 2016,France,Givry 1er Cru 'Vigne Rouge',Domaine François Lumpp,4.1,94,37.9,2016,red
8451,Médoc 2016,France,Médoc,Clos Manou,4.0,94,24.9,2016,red
8452,As Caborcas Single Vineyard 2014,Spain,Valdeorras,Telmo Rodriguez,4.1,94,35.95,2014,red
8453,Bordeaux 2015,France,Bordeaux,Domaine de Cambes,4.3,94,60.45,2015,red
8454,Massimo 2015,Italy,Veneto,Lenotti,4.0,94,13.9,2015,red
8455,Cembali Nero d'Avola 2011,Italy,Terre Siciliane,Baglio di Pianetto,3.8,94,28.5,2011,red
8456,Cuvée Spéciale Châteauneuf-du-Pape 2005,France,Châteauneuf-du-Pape,Tardieu-Laurent,4.2,94,59.95,2005,red
8457,Bordeaux Supérieur 2016,France,Bordeaux Supérieur,Château de la Cour d'Argent,3.7,94,12.95,2016,red
8458,Benozzo 2015,Italy,Montefalco,SIGNÆ,4.0,94,15.5,2015,red
8459,Saint-Émilion Grand Cru (Grand Cru Classé) 2008,France,Saint-Émilion Grand Cru,Château Pavie Decesse,4.3,94,151.88,2008,red
8460,Saint-Émilion Grand Cru (Grand Cru Classé) 2010,France,Saint-Émilion Grand Cru,Château La Fleur Morange,4.5,94,109.95,2010,red
8461,Listrac-Médoc 2015,France,Listrac-Médoc,Château Mayne Lalande,3.7,94,38.02,2015,red
8462,Châteauneuf-du-Pape 2017,France,Châteauneuf-du-Pape,Château Maucoil,4.2,94,33.48,2017,red
8463,Serego Alighieri Possessioni Rosso del Veronese 2017,Italy,Rosso Veronese,Masi,3.7,94,10.35,2017,red
8464,Primitivo di Manduria 2018,Italy,Primitivo di Manduria,Menhir,4.0,94,7.58,2018,red
8465,Bordeaux Rouge 2016,France,Bordeaux,Château Vircoulon,3.5,94,8.21,2016,red
8466,Pirinenca Tempranillo 2017,Spain,Catalunya,Raimat,3.4,94,9.9,2017,red
8467,Famiglia Zingarelli Chianti Classico Riserva 2016,Italy,Chianti Classico,Rocca delle Macìe,4.0,94,13.55,2016,red
8468,Gneisz és Csillám 2016,Hungary,Sopron,Weninger,3.6,94,7.22,2016,red
8469,Giulin 2016,Italy,Barbera del Monferrato,Azienda Agricola Accornero,4.0,94,12.9,2016,red
8470,Saint-Émilion Baron Carl 2014,France,Saint-Émilion,Baron Philippe de Rothschild,3.7,94,23.49,2014,red
8471,Rioja Excelsus 2016,Spain,Rioja,Vina Herminia,3.7,94,10.5,2016,red
8472,Espérance de Trotanoy Pomerol 2014,France,Pomerol,Château Trotanoy,4.2,94,86.06,2014,red
8473,Saint-Julien (Grand Cru Classé) 2006,France,Saint-Julien,Château Ducru-Beaucaillou,4.4,940,165.0,2006,red
8474,Pinotage 2017,South Africa,Durbanville,Diemersdal,4.0,940,12.57,2017,red
8475,Pessac-Léognan (Grand Cru Classé de Graves) 2015,France,Pessac-Léognan,Château Latour-Martillac,4.1,940,39.9,2015,red
8476,Yamhill Cuvée Pinot Noir 2013,United States,Willamette Valley,Domaine Serene,4.2,940,69.26,2013,red
8477,Elos Touriga Nacional - Tannat 2012,Brazil,Encruzilhada do Sul,Lidio Carraro,3.9,941,29.19,2012,red
8478,Saint-Estèphe 2008,France,Saint-Estèphe,Château Haut-Marbuzet,4.1,941,50.78,2008,red
8479,Rioja 2018,Spain,Rioja,Castillo de Albai,3.4,942,5.99,2018,red
8480,Cabernet Sauvignon 2016,United States,California,Carnivor,3.8,9425,10.31,2016,red
8481,Fantini Casale Vecchio Montepulciano d'Abruzzo 2017,Italy,Montepulciano d'Abruzzo,Farnese,3.7,944,7.89,2017,red
8482,Mille 1 Rebo 2015,Italy,Benaco Bresciano,Pratello,3.7,946,14.95,2015,red
8483,Baron Edmond 2014,South Africa,Paarl,Rupert & Rothschild,4.2,947,50.67,2014,red
8484,Gigondas 2016,France,Gigondas,E. Guigal,3.9,95,20.74,2016,red
8485,La Ponce Rasteau 2017,France,Rasteau,Domaine des Escaravailles,3.9,95,15.9,2017,red
8486,Tinto Crianza 2015,Spain,Ribera del Duero,Lopez Cristobal,3.8,95,15.9,2015,red
8487,Château Labégorce-Zédé Margaux 2005,France,Margaux,Château Labégorce,4.0,95,40.95,2005,red
8488,Transcendent Cabernet Sauvignon 2013,United States,Napa Valley,Black Stallion,4.5,95,249.95,2013,red
8489,Riserva gli Angeli Brunello di Montalcino 2010,Italy,Brunello di Montalcino,La Gerla,4.1,95,67.8,2010,red
8490,Giorgio 2015,South Africa,Stellenbosch,Dalla Cia,4.3,95,29.5,2015,red
8491,Côtes du Rhône 2018,France,Côtes-du-Rhône,Rocca Maura,3.5,95,6.64,2018,red
8492,Pessac-Léognan 2017,France,Pessac-Léognan,Château Picque Caillou,4.1,95,23.88,2017,red
8493,Reserva Cabernet Sauvignon 2012,Brazil,Serra Gaúcha,Don Guerino,3.3,95,12.62,2012,red
8494,El Rincón 2015,Spain,Dominio de Valdepusa,Marqués de Griñon,3.5,95,18.73,2015,red
8495,Carnuntum Cuvée 2018,Austria,Carnuntum,Markowitsch,3.5,95,8.15,2018,red
